super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,shareimputed,imputed
30955,ASA Institute Of Business & Computer Technology,3,11,Two-year for-profit,2,1,NY,19400,New York,36047,Kings,0,275,.7939404857722588,.174162116113033,.0200339430176542,.0000189094877809,35390.39656738765,29000,.2742091093590649,.443575115413844,.3267901664607595,.1437107641491083,.0597067635581207,.0262171904181673,.0132228938696943,.0069649425424073,.0004158625485793,.0001030034263818,.4433316329771332,24916.14875941154,19700,23600,.1606226666771113,.171280098529762,.2972165200103806,.2516323199597141,.2100205246650292,.069850536835114,.0339927929659072,.0130310966697447,.001981455812693,.4182880564694557,.4598003384965796,.4590863677510976,.4979453563738859,.4510350777491538,.1791532054990833,.3395769542475795,.2437784666241386,.1923266600970543,.0451647135321444,.1655210758202621,.2724354498209923,.2694793105174455,.2078743094869562,.0846898543543439,.1913521122872395,.224084498548888,.2754506665510404,.239075116921996,.0700376056908363,.1289339544166464,.2935912193123214,.1760197997771937,.2858109486174358,.1156440778764028,.0962707046067068,.298532038781697,.2036935049988703,.2042709175323892,.1972328340803366,.0000426297308478,.0049220051833162,.0006953230233818,.0024358861669083,.0041468649980672,.7527272727272727,1
3537,Abilene Christian University,2,6,Selective private,1,3,TX,32501,Abilene,48441,Taylor,0,838.6666666666666,.5521235704327236,.7161353145191514,.0143638341144465,.0019969451812225,138760.9698057433,101000,.6836863593190956,.0524413519747166,.1010319766419513,.1639357389637047,.2582400463497563,.424350886069871,.2358649068279562,.1266047251314541,.0230490995455527,.0008419044189498,.5924220121564647,50874.14613349563,40100,44400,.121246202074477,.1400652959379769,.1329475910243577,.1732773689279214,.2464440711278013,.3072656729819427,.171702009304434,.100584479300557,.0283676746458625,.6113385683686631,.5487658789881841,.5533310395735057,.5973869498659203,.6125584550332189,.0941448271300946,.1086271775167813,.2559981660803984,.2673270107227451,.2739028185499807,.1861876226228298,.1296390543620586,.2034312090567041,.2330906098341379,.2476515041242698,.1436505211098343,.1588359845121477,.2083745473584537,.2874771968594158,.2016617501601485,.138002098502027,.1398150364199039,.1742201244968372,.2332916601045479,.3146710804766842,.1346295945483258,.1225603876150013,.1417430135788465,.2391945998680785,.3618724043897479,.0380795899805418,.010980260231717,.0171916742486761,.0160948839608409,.0430933438992611,0,0
1541,Abraham Baldwin Agricultural College,1,7,Nonselective four-year public,1,3,GA,8503,Valdosta,13277,Tift,0,679.3333333333334,.4443735097908763,.5765941424096064,.0148573372218598,.0009953703585475,80366.66126794038,66000,.5254059816483075,.1545551822019667,.1871586130895783,.2254970560646064,.2367625807204858,.1960265679233631,.0729305367437909,.0330446195094988,.0025202819278511,.0006085265409041,.5353107106957471,35346.92996925601,32500,35400,.1130687824219202,.1219497765764944,.1790269216566128,.255328872191416,.2739572297582762,.1697371998172008,.0639807803810403,.0285221308431386,.0063849775689093,.4715226190685641,.5141765561843176,.5479378936861635,.564941491006752,.5554680118558452,.1764907338659683,.2397960314315044,.3010152919190199,.1865682821006015,.0961296606829059,.1140146106627512,.2289665017122221,.2860668442907149,.2284759469112559,.142476096423056,.1199849163823102,.1345168637593719,.2723120186961048,.3115460985478145,.1616401026143985,.0927115151990736,.166804540525264,.2335977540384662,.3056518073094789,.2012343829277173,.1240981765053117,.1493977039632045,.1966710933099904,.3047610099913,.2250720162301934,.0064402263603612,.0074744334319357,.0020436029413194,.003663756451633,.0135820147450563,0,0
7531,Academy Of Art University,3,10,Four-year for-profit,1,4,CA,37800,San Francisco,6075,San Francisco,0,495.6666666666667,.416753161029681,.3457610844643868,.016357388062259,.0013608988457797,166594.9696116342,92300,.649209833337544,.0935242230548864,.122917146033782,.1753494988220783,.211525121504217,.3966840105850363,.244049584697218,.1473955090465206,.0356811993751016,.0033683484815851,.5160591456977421,39988.01720641392,27400,36300,.1863925924378108,.2058662640160629,.1937820680609597,.1808678704643334,.1581462213801314,.2613375760785127,.1630449121280573,.0872733426388671,.0140308070796785,.4632818132498638,.5044827361233537,.5076224409299324,.5176000091239119,.5349969870705852,.267030112083061,.1854257862773789,.2062937408346087,.166350345301381,.1749000155035704,.2090547985990048,.1915711081904684,.218931933234544,.1363872212863556,.2440549386896273,.1997594120450428,.220832973025571,.1813436284446656,.1469257743331281,.2511382121515925,.1993628001348042,.1926340073759562,.1671837983531559,.1889048949567224,.2519144991793613,.1966252877667516,.1850919287519881,.1701652468945041,.1515125722976551,.2966049642891012,.014551298062974,.0110801110955517,.0037515435873355,.0030415236345068,.0252260801773751,0,0
1345,Adams State University,1,5,Selective public,1,4,CO,34805,Alamosa,8003,Alamosa,0,393.3333333333333,.5019184242870848,.5675681920879978,.0188446793470472,.0000310154668052,76121.81634004238,67200,.5404712352712275,.1292243921571641,.1855038841607511,.24842875044699,.2608763339355764,.1759666392995185,.0642784620114302,.0248874053990437,.0031467151565682,0,.5524210824673252,38010.81340704449,34100,36600,.1122882852046672,.1212476771595586,.1590778588505659,.2438618938541816,.2722648164708174,.2035477536648765,.0785804902534869,.0306411535810616,.0058325919689288,.4975702924243474,.5320867040904902,.563780871942892,.5588401556015015,.588584093976829,.1699929990720625,.2016696077239211,.2188124485137104,.2636958250289957,.1458291196613103,.1288845259504555,.1836278792463433,.2358722247372434,.2891827925538503,.1624325775121074,.105586373081574,.1473407415217469,.2641172285774004,.2809070407811794,.2020486160380993,.1175439973629545,.1593082492273055,.2277163177676154,.2919977578961694,.2034336777459554,.1050012505095117,.11814803810504,.266020100781561,.2192669186561342,.291563691947753,.0002400124797452,.0000548990084294,.0065161021131309,.0030827926296399,.0191421384813505,0,0
2666,Adelphi University,2,6,Selective private,1,1,NY,19400,New York,36059,Nassau,0,509,.7206171969221399,.5480334312992309,.0325850696673793,.002612554670245,130723.7409084398,96300,.6488922144668744,.0870480187334895,.1285386095463194,.1564338613877947,.2298645329263982,.3981149774059982,.2053698030810928,.1039239673411136,.0238632561179084,.0019367096273072,.6564518933972734,54029.66685596758,50700,55000,.0927748012831575,.1005154061599031,.1130075535590373,.1476445960667658,.1931544815713372,.4456779626429565,.2436367367402197,.1017858084991389,.0148926636782852,.6339678452463031,.6220822650073163,.6631229839921388,.6521335451058024,.6723369193295676,.0984751879253937,.125163606451655,.1938495491824114,.2081772357210584,.3743344207194814,.1281903030021574,.1139459623845534,.1512317976550095,.1938884625860285,.4127434743722513,.0905652736359758,.1066129458477381,.1711234082319234,.196650435268476,.4350479370158866,.0877755899384031,.1316076186427913,.1625158324593451,.1900162210561794,.4280847379032811,.1032916738608069,.1018199709890488,.1185716014777806,.1900710591885071,.4862456944838566,.0300127987776926,0,.0125681324295418,.0198245580369548,.0144608092504538,0,0
2860,Adirondack Community College - SUNY Office Of Community Colleges,1,9,Two-year (public and private not-for-profit),2,1,NY,18600,Albany,36113,Warren,0,663,.5328187419578261,.4898274938265483,.009940930730573,.0000283346147874,75699.25195607089,69900,.5349966178232848,.1142881845554698,.1776071373308651,.2552188494701756,.2944492236632583,.1584366049802314,.045389866942419,.0159026145796461,.0019229873259823,.0000923385420115,.5269299377229878,33735.56870011627,30300,33300,.1080998617344732,.1209060228687604,.2007168641880815,.2511958571951746,.2580096112450845,.169171644502899,.059643790818837,.0242168365965062,.0031722624209762,.4862791107880404,.5142806897875411,.509200049456548,.5588409460747643,.5396879488886032,.1405527169761288,.2546150878161515,.2740812325807255,.2437696988223521,.0869812638046422,.1300165136018279,.2115248777273093,.2572103165400811,.2491626072898601,.1520856848409214,.137429356582989,.2085919357776473,.2689954271412918,.2239067576134353,.1610765228846365,.1044997002218343,.1742251889174926,.2420783915545823,.2861700836002196,.1930266357058712,.1003949141219299,.1862699251864654,.2162172359587418,.280798578671361,.2163193460615019,.0002479225205795,.0004233700259622,.0039769562798944,.0037208592007875,.0060474406074624,0,0
2234,Adrian College,2,6,Selective private,1,2,MI,11500,Jackson,26091,Lenawee,0,240.3333333333333,.5558020761042792,.6523669117366722,.0095646296041283,.0000423077203657,113708.1117154993,88500,.6431393285234163,.0607602939227612,.1153559471760715,.2008132616675827,.2813269410209627,.3417435562126219,.1497259058378606,.0729329126748811,.0115043830162692,.0013226748711524,.6071502034577768,43944.55248786408,40300,42700,.0820581957532529,.0857920459184793,.1280818558565146,.2104973984353056,.3036666475554528,.2719620522342477,.1134715648096742,.0387143412716015,.0035677333743417,.5488573511992678,.6017116551260346,.5991170920545285,.5963553592831351,.6329569681011523,.1508755794023959,.164390578892488,.2126946921451382,.3146233606191456,.1574157889408324,.0831618683622548,.1476557788375154,.2069678604889805,.3379778597033435,.2242366326079059,.0739734580983038,.115333705372217,.2498275041832371,.3447499013582787,.2161154309879636,.09041437896336,.1387062653324666,.2307654110626811,.2650433722356607,.2750705724058317,.0782479515198325,.1137640085726608,.1715023696000947,.2977908095363094,.3386948607711027,.0006963053934453,0,.0067530961421268,0,.006347784330924,0,0
11484,Advanced Institute Of Hair Design,3,11,Two-year for-profit,2,2,WI,24100,Milwaukee,55079,Milwaukee,0,58,.8947809202456331,.4958848830849098,.0201728803903903,.0000974033816298,90962.75040154014,78100,.6210068752065019,.025902086325338,.1111654873724355,.2545027527900856,.4080001194372376,.2004295540749033,.0948949525146192,.0155919384036058,.0014379369121169,.0008352496583017,.4532352679051877,27012.46590814172,24300,24600,.120494379634797,.1227087852832469,.2794217996038798,.3455011059962934,.1843132956092974,.0680550135072825,.0059152495048229,.0014649494919532,.001089647692755,.5981430267148494,.4078090774488261,.4205623180152063,.4886483795820698,.4291031642156471,.0825491512089089,0,.0199434372281269,.1186944566135898,.7788129549493744,.0727696713905311,.4034072139234194,.4097610903356419,.07634821181555,.0377138125348575,.17467885926112,.2203987761151936,.3714143729139142,.1937548624884164,.0397531292213558,.0295376007914766,.3255358887627097,.4246872448085244,.1807306256480677,.0395086399892217,.2792677912588333,.2278409665686584,.1578350620916815,.2479789613888197,.087077218692007,.0037604454099325,.0057766819758739,0,.0000205567356779,.0017047859775314,1,1
31275,Advanced Technology Institute,3,11,Two-year for-profit,2,3,VA,2000,Virginia Beach,51810,Virginia Beach City,0,127.6666666666667,.0369549926963705,.4252995001273741,.0314386623525081,.0000649665506152,69400.14868227807,57200,.4815929762377129,.1595313259575751,.2189207362666157,.2627335890371333,.2235291943974715,.1352851543412043,.0272710675728695,.0103449315639996,.0024579080840264,5.79737289976e-06,.5472286917918595,33265.16236435215,33900,36200,.1135175220921208,.1238794982241966,.1523135800105815,.229782040855302,.3094797132716976,.1845451676382222,.0554390927441126,.0164879398814381,.0038512965895936,.5284973664632354,.5086870000505572,.5480052016422581,.5939894281230459,.5529159659193951,.1151012327132701,.215215919595627,.1805242034711737,.2920897477897148,.1970688964302143,.1504901434163996,.2053523122203902,.1810670668338548,.3264530780737636,.1366373994555918,.1123053027880085,.0937609808526966,.3063595965274479,.3752550361723834,.1123190836594637,.1320461809225279,.0974153083898446,.2227650766023895,.2788638237212255,.2689096103640125,.100153496547498,.1967303457437247,.229574231038147,.2253653930279013,.248176533642729,.0004072338158366,.0003392298899816,.0004745715299127,.0121072266516732,.006512622060015,0,0
